n,m,diameter_nm,type,transition,E_ii_eV
24,6,2.1526,M,E22M,2.3748
24,7,2.2046,S,E11S,0.3865
24,7,2.2046,S,E22S,0.7729
24,7,2.2046,S,E33S,1.5458
24,7,2.2046,S,E44S,1.9323
24,8,2.2582,S,E11S,0.3773
24,8,2.2582,S,E22S,0.7546
24,8,2.2582,S,E33S,1.5092
24,8,2.2582,S,E44S,1.8865
24,9,2.3132,M,E11M,1.105
24,9,2.3132,M,E22M,2.21
24,10,2.3694,S,E11S,0.3596
24,10,2.3694,S,E22S,0.7192
24,10,2.3694,S,E33S,1.4383
24,10,2.3694,S,E44S,1.7979
24,11,2.4269,S,E11S,0.3511
24,11,2.4269,S,E22S,0.7021
24,11,2.4269,S,E33S,1.4042
24,11,2.4269,S,E44S,1.7553
24,12,2.4856,M,E11M,1.0283
24,12,2.4856,M,E22M,2.0567
24,13,2.5453,S,E11S,0.3347
24,13,2.5453,S,E22S,0.6695
24,13,2.5453,S,E33S,1.3389
24,13,2.5453,S,E44S,1.6737
24,14,2.606,S,E11S,0.3269
24,14,2.606,S,E22S,0.6539
24,14,2.606,S,E33S,1.3078
24,14,2.606,S,E44S,1.6347
24,15,2.6676,M,E11M,0.9582
24,15,2.6676,M,E22M,1.9164
24,16,2.73,S,E11S,0.3121
24,16,2.73,S,E22S,0.6242
24,16,2.73,S,E33S,1.2483
24,16,2.73,S,E44S,1.5604
24,17,2.7933,S,E11S,0.305
24,17,2.7933,S,E22S,0.61
24,17,2.7933,S,E33S,1.2201
24,17,2.7933,S,E44S,1.5251
24,18,2.8573,M,E11M,0.8946
24,18,2.8573,M,E22M,1.7891
24,19,2.922,S,E11S,0.2916
24,19,2.922,S,E22S,0.5832
24,19,2.922,S,E33S,1.1663
24,19,2.922,S,E44S,1.4579
24,20,2.9873,S,E11S,0.2852
24,20,2.9873,S,E22S,0.5704
24,20,2.9873,S,E33S,1.1408
24,20,2.9873,S,E44S,1.426
24,21,3.0533,M,E11M,0.8371
24,21,3.0533,M,E22M,1.6743
24,22,3.1198,S,E11S,0.2731
24,22,3.1198,S,E22S,0.5462
24,22,3.1198,S,E33S,1.0924
24,22,3.1198,S,E44S,1.3655
24,23,3.1868,S,E11S,0.2673
24,23,3.1868,S,E22S,0.5347
24,23,3.1868,S,E33S,1.0694
24,23,3.1868,S,E44S,1.3367
24,24,3.2544,M,E11M,0.7854
24,24,3.2544,M,E22M,1.5708
25,0,1.9572,S,E11S,0.4353
25,0,1.9572,S,E22S,0.8706
25,0,1.9572,S,E33S,1.7412
25,0,1.9572,S,E44S,2.1766
25,1,1.9975,M,E11M,1.2796
25,1,1.9975,M,E22M,2.5592
25,2,2.04,S,E11S,0.4176
25,2,2.04,S,E22S,0.8353
25,2,2.04,S,E33S,1.6706
25,2,2.04,S,E44S,2.0882
25,3,2.0846,S,E11S,0.4087
25,3,2.0846,S,E22S,0.8174
25,3,2.0846,S,E33S,1.6348
25,3,2.0846,S,E44S,2.0436
25,4,2.1311,M,E11M,1.1994
25,4,2.1311,M,E22M,2.3987
25,5,2.1795,S,E11S,0.3909
25,5,2.1795,S,E22S,0.7818
25,5,2.1795,S,E33S,1.5637
25,5,2.1795,S,E44S,1.9546
25,6,2.2295,S,E11S,0.3821
25,6,2.2295,S,E22S,0.7643
25,6,2.2295,S,E33S,1.5286
25,6,2.2295,S,E44S,1.9107
25,7,2.2811,M,E11M,1.1205
25,7,2.2811,M,E22M,2.241
25,8,2.3343,S,E11S,0.365
25,8,2.3343,S,E22S,0.73
25,8,2.3343,S,E33S,1.46
25,8,2.3343,S,E44S,1.825
25,9,2.3888,S,E11S,0.3567
25,9,2.3888,S,E22S,0.7133
25,9,2.3888,S,E33S,1.4267
25,9,2.3888,S,E44S,1.7833
25,10,2.4446,M,E11M,1.0456
25,10,2.4446,M,E22M,2.0912
25,11,2.5016,S,E11S,0.3406
25,11,2.5016,S,E22S,0.6812
25,11,2.5016,S,E33S,1.3623
25,11,2.5016,S,E44S,1.7029
25,12,2.5597,S,E11S,0.3329
25,12,2.5597,S,E22S,0.6657
25,12,2.5597,S,E33S,1.3314
25,12,2.5597,S,E44S,1.6643
25,13,2.6189,M,E11M,0.976
25,13,2.6189,M,E22M,1.952
25,14,2.679,S,E11S,0.318
25,14,2.679,S,E22S,0.6361
25,14,2.679,S,E33S,1.2721
25,14,2.679,S,E44S,1.5901
25,15,2.7401,S,E11S,0.3109
25,15,2.7401,S,E22S,0.6219
25,15,2.7401,S,E33S,1.2437
25,15,2.7401,S,E44S,1.5547
25,16,2.802,M,E11M,0.9122
25,16,2.802,M,E22M,1.8244
25,17,2.8648,S,E11S,0.2974
25,17,2.8648,S,E22S,0.5948
25,17,2.8648,S,E33S,1.1896
25,17,2.8648,S,E44S,1.487
25,18,2.9282,S,E11S,0.291
25,18,2.9282,S,E22S,0.5819
25,18,2.9282,S,E33S,1.1638
25,18,2.9282,S,E44S,1.4548
25,19,2.9924,M,E11M,0.8542
25,19,2.9924,M,E22M,1.7083
25,20,3.0573,S,E11S,0.2787
25,20,3.0573,S,E22S,0.5574
25,20,3.0573,S,E33S,1.1147
25,20,3.0573,S,E44S,1.3934
25,21,3.1227,S,E11S,0.2728
25,21,3.1227,S,E22S,0.5457
25,21,3.1227,S,E33S,1.0914
25,21,3.1227,S,E44S,1.3642
25,22,3.1888,M,E11M,0.8016
25,22,3.1888,M,E22M,1.6031
25,23,3.2553,S,E11S,0.2617
25,23,3.2553,S,E22S,0.5234
25,23,3.2553,S,E33S,1.0469
25,23,3.2553,S,E44S,1.3086
25,24,3.3224,S,E11S,0.2564
25,24,3.3224,S,E22S,0.5129
25,24,3.3224,S,E33S,1.0258
25,24,3.3224,S,E44S,1.2822
25,25,3.39,M,E11M,0.754
25,25,3.39,M,E22M,1.508
